Source Plate Name,Source Well,Destination Plate Name,Destination Well,Volume
Source water,A1,Plate1,E3,
Plate1,E4,Plate1,E4,Sample volume needed 8.56 / available volume 5.
Source water,A1,Plate1,E4,
Plate1,E5,Plate1,E5,Sample volume needed 7.25 / available volume 5.
Source water,A1,Plate1,E5,
Plate1,E6,Plate1,E6,Sample volume needed 8.58 / available volume 5.
Source water,A1,Plate1,E6,
Plate1,E7,Plate1,E7,Sample volume needed 5.66 / available volume 5.
Source water,A1,Plate1,E7,
Plate1,E8,Plate1,E8,4.95
Source water,A1,Plate1,E8,30.05
Plate1,E9,Plate1,E9,Sample volume needed 5.6 / available volume 5.
Source water,A1,Plate1,E9,
Plate1,E10,Plate1,E10,Sample volume needed 8.54 / available volume 5.
Source water,A1,Plate1,E10,
Plate1,E11,Plate1,E11,Sample volume needed 6.84 / available volume 5.
Source water,A1,Plate1,E11,
Plate1,E12,Plate1,E12,Sample volume needed 6.7 / available volume 5.
Source water,A1,Plate1,E12,
Plate1,F1,Plate1,F1,4.3
Source water,A1,Plate1,F1,30.7
Plate1,F2,Plate1,F2,4.67
Source water,A1,Plate1,F2,30.31
Plate1,F3,Plate1,F3,Sample volume needed 5.77 / available volume 5.
Source water,A1,Plate1,F3,
Plate1,F4,Plate1,F4,4.96
Source water,A1,Plate1,F4,30.01
Plate1,F5,Plate1,F5,Sample volume needed 8.45 / available volume 5.
Source water,A1,Plate1,F5,
Plate1,F6,Plate1,F6,Sample volume needed 9.11 / available volume 5.
Source water,A1,Plate1,F6,
Plate1,F7,Plate1,F7,Sample volume needed 7.76 / available volume 5.
Source water,A1,Plate1,F7,
Plate1,F8,Plate1,F8,4.7
Source water,A1,Plate1,F8,30.32
Plate1,F9,Plate1,F9,4.08
Source water,A1,Plate1,F9,30.89
Plate1,F10,Plate1,F10,Sample volume needed 6.58 / available volume 5.
Source water,A1,Plate1,F10,
Plate1,F11,Plate1,F11,4.17
Source water,A1,Plate1,F11,30.86
Plate1,F12,Plate1,F12,4.86
Source water,A1,Plate1,F12,30.13
Plate1,G1,Plate1,G1,Sample volume needed 5.01 / available volume 5.
Source water,A1,Plate1,G1,
Plate1,G2,Plate1,G2,4.32
Source water,A1,Plate1,G2,30.67
Plate1,G3,Plate1,G3,4.79
Source water,A1,Plate1,G3,30.22
Plate1,G4,Plate1,G4,4.2
Source water,A1,Plate1,G4,30.79
Plate1,G5,Plate1,G5,Sample volume needed 6.23 / available volume 5.
Source water,A1,Plate1,G5,
Plate1,G6,Plate1,G6,Sample volume needed 5.02 / available volume 5.
Source water,A1,Plate1,G6,
Plate1,G7,Plate1,G7,Sample volume needed 5.98 / available volume 5.
Source water,A1,Plate1,G7,
Plate1,G8,Plate1,G8,4.36
Source water,A1,Plate1,G8,30.61
Plate1,G9,Plate1,G9,3.8
Source water,A1,Plate1,G9,33.04
Plate1,G10,Plate1,G10,Sample volume needed 7.76 / available volume 5.
Source water,A1,Plate1,G10,
Plate1,G11,Plate1,G11,Sample volume needed 10.87 / available volume 5.
Source water,A1,Plate1,G11,
Plate1,G12,Plate1,G12,Sample volume needed 7.53 / available volume 5.
Source water,A1,Plate1,G12,
Plate1,H1,Plate1,H1,Sample volume needed 9.89 / available volume 5.
Source water,A1,Plate1,H1,
Plate1,H2,Plate1,H2,Sample volume needed 9.78 / available volume 5.
Source water,A1,Plate1,H2,
Plate1,H3,Plate1,H3,Sample volume needed 9.11 / available volume 5.
Source water,A1,Plate1,H3,
Plate1,H4,Plate1,H4,Sample volume needed 7.13 / available volume 5.
Source water,A1,Plate1,H4,
Plate1,H5,Plate1,H5,3.77
Source water,A1,Plate1,H5,33.39
Plate1,H6,Plate1,H6,Sample volume needed 6.97 / available volume 5.
Source water,A1,Plate1,H6,
Plate1,H7,Plate1,H7,4.25
Source water,A1,Plate1,H7,30.73
Plate1,H8,Plate1,H8,Sample volume needed 6.59 / available volume 5.
Source water,A1,Plate1,H8,
Plate1,H9,Plate1,H9,Sample volume needed 5.2 / available volume 5.
Source water,A1,Plate1,H9,
Plate1,H10,Plate1,H10,4.42
Source water,A1,Plate1,H10,30.59
Plate1,H11,Plate1,H11,4.0
Source water,A1,Plate1,H11,31.0
Plate1,H12,Plate1,H12,3.43
Source water,A1,Plate1,H12,37.41
